ASV_name	08_2016_F4_1	08_2016_F4_2	09_2016_F4_1	09_2016_F4_2	10_2016_F4	11_2016_F4	12_2016_F4	01_2017_F4	02_2017_F4_1	02_2017_F4_2	03_2017_F4_2	03_2017_F4_3	03_2017_F4_4	04_2017_F4_1	04_2017_F4_2	05_2017_F4_1	05_2017_F4_2	06_2017_F4_1	06_2017_F4_2	07_2017_F4_1	07_2017_F4_2	07_2017_F4_3	08_2017_F4_1	08_2017_F4_2	09_2017_F4_1	09_2017_F4_2	10_2017_F4	11_2017_F4	12_2017_F4	01_2018_F4	02_2018_F4_1	02_2018_F4_2	03_2018_F4_1	03_2018_F4_2	03_2018_F4_3	04_2018_F4_1	04_2018_F4_2	04_2018_F4_3	04_2018_F4_4	05_2018_F4_1	05_2018_F4_2	06_2018_F4_1	06_2018_F4_2	06_2018_F4_3	07_2018_F4_1	07_2018_F4_2	08_2018_F4_1	08_2018_F4_2	09_2018_F4_1	09_2018_F4_2	10_2018_F4_1	10_2018_F4_2	11_2018_F4_1	11_2018_F4_2	12_2018_F4_1	12_2018_F4_2	01_2019_F4_1	01_2019_F4_2	02_2019_F4	03_2019_F4_1	03_2019_F4_2	04_2019_F4_1	04_2019_F4_2	05_2019_F4_1	05_2019_F4_2	06_2019_F4_1	06_2019_F4_2	07_2019_F4_1	07_2019_F4_2	07_2019_F4_3	07_2019_F4_4	08_2019_F4_1	08_2019_F4_2	09_2019_F4_1	10_2019_F4_1	10_2019_F4_2	11_2019_F4_1	11_2019_F4_2	12_2019_F4_1	12_2019_F4_2	01_2020_F4_1	01_2020_F4_2	02_2020_F4_1	02_2020_F4_2	03_2020_F4_1	03_2020_F4_2	04_2020_F4_1	04_2020_F4_2	05_2020_F4_1	05_2020_F4_2	06_2020_F4_1	06_2020_F4_2	07_2020_F4_1	07_2020_F4_2	08_2020_F4	09_2020_F4_1	09_2020_F4_2
prok_asv32	681	676	596	381	906	431	1135	1595	163	441	440	1070	1197	381	1150	291	318	482	231	454	113	349	217	232	112	363	177	252	358	225	262	485	208	319	360	282	380	344	113	133	72	10	38	105	64	120	125	103	556	1635	1042	1210	1353	592	403	613	353	679	501	268	483	2584	1991	259	133	276	8825	457	2513	1495	776	814	94	1164	2472	1634	1017	1142	805	597	1162	1637	1827	1604	560	671	486	872	170	77	302	967	539	384	465	419	386
prok_asv33	12	30	22	13	80	287	244	286	33	69	145	491	285	90	363	98	63	192	99	24	1	6	1	36	13	66	392	360	217	138	191	161	94	190	199	237	297	328	149	58	107	15	16	2	2	0	5	1	5	52	153	171	278	443	163	110	203	10	105	58	82	370	194	95	24	62	1184	76	442	615	17	7	0	264	193	847	1728	1331	636	1444	1931	1500	3086	1460	782	1159	903	1635	692	324	288	101	93	5	60	48	140
prok_asv34	411	153	64	43	46	21	45	44	10	16	42	88	116	45	14	184	340	2127	908	1966	2501	983	206	386	149	254	124	140	119	86	72	73	41	63	56	68	68	139	180	1577	1435	301	1188	1382	872	223	257	227	409	465	843	294	490	189	145	150	23	140	46	41	16	187	227	337	1168	4709	63608	1962	5258	1705	637	365	83	537	819	885	1067	67	53	54	218	175	129	267	82	235	37	143	378	1807	3415	9623	1703	880	499	1390	172
prok_asv35	626	841	764	451	2060	1523	2393	3130	266	585	737	1419	1203	349	655	260	529	860	463	531	152	136	138	600	291	1049	1513	1357	917	475	477	530	347	232	437	274	421	235	70	185	111	16	55	76	23	18	138	40	544	1668	1346	1507	1942	979	561	766	280	544	393	174	247	1113	457	134	71	805	12132	428	1242	1117	242	70	3	2103	3832	3912	2402	1563	618	495	979	1384	1219	1192	464	386	164	533	259	559	1371	4131	751	842	855	641	497
prok_asv36	1291	1631	1589	952	1303	362	602	521	54	155	175	440	519	157	412	428	705	1043	608	1415	1102	990	364	396	189	362	223	321	191	94	114	187	96	86	165	118	206	215	195	729	1070	1407	1263	1269	469	103	892	402	464	771	1275	384	573	498	206	152	76	84	63	48	99	337	428	349	134	680	11202	1998	1741	703	478	1886	97	1394	1671	882	584	608	218	444	654	866	719	492	188	287	245	963	624	920	1574	2461	2697	1320	1527	976	544
prok_asv37	2816	749	197	87	121	4	7	25	0	0	26	10	9	13	18	38	19	196	525	707	1192	274	763	133	203	32	14	18	36	21	25	16	19	20	5	15	38	29	91	666	511	7768	3713	1558	2202	452	3476	948	232	133	213	33	33	0	6	12	15	19	1	6	24	85	66	70	15	19	3859	2233	3482	177	978	296	91	1210	1787	810	566	308	57	301	222	181	161	225	77	170	98	236	1768	748	7061	7213	3731	8833	1934	845	440
prok_asv38	1310	1630	2112	1033	2467	509	1024	764	104	206	262	613	736	250	586	464	683	971	784	1307	871	835	349	408	213	683	330	452	269	190	176	232	148	196	265	179	295	317	137	726	675	705	817	887	311	99	663	257	698	1460	1325	673	726	476	205	153	112	183	99	74	106	714	654	269	168	849	13931	1905	1523	940	541	1470	55	1837	3030	1493	883	797	420	356	688	942	787	636	296	384	316	1124	483	831	1641	3017	2673	1155	1691	1099	1023
prok_asv39	110	23	18	24	34	5	76	108	6	26	39	39	106	50	122	1136	1245	1225	308	99	16	63	5	5	16	10	9	26	66	20	38	32	8	28	25	34	38	100	756	1284	1360	74	40	28	8	8	52	19	10	21	192	36	62	35	44	44	74	46	71	10	43	312	185	579	380	567	7290	243	1079	337	53	17	2	100	66	297	401	321	181	509	636	564	950	587	287	440	403	2037	3864	1453	697	1075	207	172	64	27	5
prok_asv41	0	4	1	2	35	72	357	663	172	456	1091	1322	1588	480	1364	153	52	49	13	2	0	2	1	12	0	77	235	899	792	482	678	463	364	388	586	603	826	619	147	43	13	9	1	0	0	0	0	1	0	71	176	163	727	722	764	1260	1748	1910	1145	753	1259	4258	1660	285	5	30	99	17	62	140	3	5	0	236	181	625	1074	1144	684	1509	2674	3578	3943	6640	2229	1592	1055	1673	207	22	48	8	13	1	39	12	36
prok_asv42	28	23	12	7	43	276	667	1378	246	710	494	1515	2224	640	1675	420	251	236	78	15	0	7	0	2	1	37	133	445	388	199	280	816	246	461	562	588	681	349	111	65	78	25	5	3	1	1	4	2	15	63	171	310	513	377	352	512	919	603	892	620	503	3856	2613	417	89	91	1107	97	260	200	35	26	0	115	218	306	356	360	147	306	308	414	500	637	187	269	234	560	181	33	30	18	6	1	19	14	10
