ASV_name	Kingdom	Phylum	Class	Order	Family	Genus	Species
euk_asv7144	Eukaryota	Picozoa	Picozoa uc	Picozoa uc	Picozoa uc	Picozoa uc	Picozoa uc_sp.
euk_asv7145	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II uc	Dino-Group-II uc	Dino-Group-II uc
euk_asv7146	Eukaryota	Picozoa	Picozoa uc	Picozoa uc	Picozoa uc	Picozoa uc	Picozoa uc_sp.
euk_asv7147	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-II-10-and-11	Dino-II-10-and-11 uc	Dino-II-10-and-11 uc_sp.
euk_asv7148	Eukaryota	Dinoflagellata	Dinophyceae	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc
euk_asv7149	Eukaryota	Dinoflagellata	Dinophyceae	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc
euk_asv7150	Eukaryota	Sagenista	MAST-9	MAST-9D	MAST-9D uc	MAST-9D uc	MAST-9D uc_sp.
euk_asv7151	Eukaryota	Ochrophyta	Chrysophyceae	Chrysophyceae uc	Chrysophyceae C	Chrysophyceae C uc	Chrysophyceae C uc_sp.
euk_asv7152	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta uc	Mediophyceae	Mediophyceae uc	Mediophyceae uc
euk_asv7153	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-II-1	Dino-II-1 uc	Dino-II-1 uc_sp.
euk_asv7154	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta uc	Raphid-pennate	Bacillaria	Bacillaria_paxillifer
euk_asv7155	Eukaryota	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	Gyrodinium_heterogrammum
euk_asv7156	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta uc	Raphid-pennate	Fragilariopsis	Fragilariopsis_sublineata
euk_asv7157	Eukaryota	Dinoflagellata	Dinophyceae	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc
